Profit(0.3%) mean,return mean,Normal Close Rate,times,Profit(0.3%)
-0.10366016574585595,0.00024816678351092305,0.6795580110497238,543.0,-56.287469999999864
-0.22114325524044295,-0.00018462612732196213,0.6584463625154131,811.0,-179.34717999999913
-0.4229208666666654,-0.0005113954491878126,0.6416666666666667,1200.0,-507.5050399999995
-0.7472482820197031,-0.0008810693118601057,0.6311576354679803,1624.0,-1213.531209999998
-1.2262164367816084,-0.0016114933982707407,0.6010536398467433,2088.0,-2560.339919999991
-1.3907409101941737,-0.001750959058786433,0.5885922330097088,2472.0,-3437.911529999988
-1.2954716660695087,-0.0016500217092074272,0.5861698316015765,2791.0,-3615.6614199999913
-1.1865663324708926,-0.0015583081926763699,0.5840879689521346,3092.0,-3668.8630999999928
-1.1431585625,-0.001491579287215069,0.580952380952381,3360.0,-3841.0127699999953
-1.0982374456372148,-0.0014920223438182538,0.5755573905862923,3633.0,-3989.896639999996
-1.0296941774779453,-0.0014497136634497394,0.5710949662688116,3854.0,-3968.4413599999934
-1.0049085787797107,-0.001484760313438759,0.5672629257534918,4081.0,-4101.031909999992
-0.992721443825441,-0.0015095770965925278,0.5608170844939647,4308.0,-4276.643979999998
-0.9998300309940223,-0.0015386917099370417,0.5565640912109807,4517.0,-4516.2322500000055
-0.9437383396946563,-0.0015446430975101031,0.5523748939779474,4716.0,-4450.670010000004
-0.9870570322054627,-0.0015195502149778714,0.5495311863024868,4906.0,-4842.501800000004
-1.0173412226816303,-0.0014946193174056475,0.5459736168537114,5079.0,-5167.076070000003
-1.0311813949483348,-0.001500878277114693,0.5434366628396479,5226.0,-5388.953969999999
-1.0376389222450113,-0.0014952590286135558,0.5394368823419727,5363.0,-5564.857539999991
-1.0752844218807167,-0.0014941514538405242,0.5362239297475302,5466.0,-5877.504649999981
-1.0988007364828447,-0.0014880702669884055,0.5335009879647925,5567.0,-6117.023699999988
-1.0898156199222881,-0.0014926725537174356,0.5309078064288237,5662.0,-6170.536039999987
-1.0825448251385037,-0.0015066598140708607,0.5280470914127424,5776.0,-6252.778909999986
-1.079430010235414,-0.001505174630992679,0.526100307062436,5862.0,-6327.618719999988
-1.062317952477249,-0.0015129287349938583,0.5244354566902595,5934.0,-6303.79472999998
-1.0664691183333326,-0.001517414540457928,0.5225,6000.0,-6398.8147099999715
-1.0659409295030537,-0.0015267675679985022,0.5203896318309394,6057.0,-6456.404209999975
-1.050893814500326,-0.0015162800790543842,0.5197583278902678,6124.0,-6435.673719999976
-1.0442478099708639,-0.00151246180066236,0.5189381676918097,6178.0,-6451.362969999974
-1.04511218514359,-0.0015236248505179821,0.5172469115995508,6233.0,-6514.184249999974
-1.043935864649681,-0.0015220443957288303,0.5146496815286624,6280.0,-6555.917229999973
-1.0515186206896545,-0.0015193618590385494,0.5140778234735843,6322.0,-6647.700719999971
-1.048213203837684,-0.0015069144778739887,0.5143126769424348,6358.0,-6664.5395499999695
-1.0330215119363386,-0.0015010912957734704,0.5124044312685286,6409.0,-6620.6348699999735
-1.0380729260350436,-0.0015008752071087746,0.5109319274306094,6449.0,-6694.532299999976
-1.0353547229510718,-0.0015049243966526128,0.5098008951998765,6479.0,-6708.063249999982
-1.0352946016884104,-0.0015076735175495208,0.508825786646201,6515.0,-6744.9443299999775
-1.0342952834224592,-0.0015097050923465836,0.507563025210084,6545.0,-6769.462629999979
-1.0382820941212298,-0.0015139985629897927,0.5067011879378617,6566.0,-6817.3602299999775
-1.0371676123254394,-0.0015216575506980978,0.505464480874317,6588.0,-6832.860229999979
-1.0383364154940227,-0.0015310655151661156,0.5043123014071721,6609.0,-6862.365369999979
-1.0394208247889016,-0.0015426868990989575,0.503015681544029,6632.0,-6893.438909999982
-1.0426887417318091,-0.0015498213012100706,0.5018039687312087,6652.0,-6935.965509999977
-1.0478810481331529,-0.0015597912911313205,0.5008247113510271,6669.0,-6988.318709999977
-1.051327070178063,-0.0015719368618344104,0.4997755499027383,6683.0,-7026.018809999977
-1.0463690365398948,-0.0015784188258308356,0.4988814317673378,6705.0,-7015.904389999975
