,Profit(0.3%),win rate,times
2015Origin,0.29869,0.47029703,202
2015RS,-25.44772,0.481927711,83
2015NewMean(0.5%),-39.45485,0.583673469,245
2015NM&RS(0.5%),-20.55434,0.567010309,97
2016Origin,-42.80168,0.525925926,135
2016RS,-46.24042,0.557692308,52
2016NewMean(0.5%),-53.1398,0.627118644,177
2016NM&RS(0.5%),-23.62158,0.68852459,61
2017Origin,-78.46476,0.491935484,124
2017RS,13.51746,0.618181818,55
2017NewMean(0.5%),-72.62284,0.618421053,152
2017NM&RS(0.5%),-18.6563,0.676923077,65
2018Origin,-5.66782,0.584337349,332
2018RS,226.11118,0.627118644,118
2018NewMean(0.5%),-549.40427,0.612299465,374
2018NM&RS(0.5%),-179.83727,0.640625,128
